Lintang,Bujur,Objek,Nama,Kecamatan,Kabupaten/Kota,Keterangan
-6.249060390858013,107.03060065211984,Sekolah Dasar,SDN Aren Jaya I Bekasi,Bekasi Timur,Bekasi,Negeri
-6.241184743397426,107.02903659373622,Sekolah Dasar,SDN Aren Jaya II Bekasi,Bekasi Timur,Bekasi,Negeri
-6.248891431164043,107.03081569929923,Sekolah Dasar,SDN Aren Jaya III Bekasi,Bekasi Timur,Bekasi,Negeri
-6.249660804181926,107.02901260315994,Sekolah Dasar,SDN Aren Jaya IV Bekasi,Bekasi Timur,Bekasi,Negeri
-6.249584597978009,107.02858576608318,Sekolah Dasar,SDN Aren Jaya V Bekasi ,Bekasi Timur,Bekasi,Negeri
-6.244767542309394,107.03056621604281,Sekolah Dasar,SDN Aren Jaya VII Bekasi,Bekasi Timur,Bekasi,Negeri
-6.243647487579795,107.03369627954739,Sekolah Dasar,SDN Aren Jaya VIII Bekasi,Bekasi Timur,Bekasi,Negeri
-6.243693703565606,107.03353378156196,Sekolah Dasar,SDN Aren Jaya IX Bekasi,Bekasi Timur,Bekasi,Negeri
-6.241394254282736,107.03320350672809,Sekolah Dasar,SDN Aren Jaya X Bekasi,Bekasi Timur,Bekasi,Negeri
-6.241333082549373,107.03673991590775,Sekolah Dasar,SDN Aren Jaya XI Bekasi,Bekasi Timur,Bekasi,Negeri
-6.245064799676563,107.03765594124707,Sekolah Dasar,SDN Aren Jaya XII Bekasi,Bekasi Timur,Bekasi,Negeri
-6.245185159982091,107.03748375174278,Sekolah Dasar,SDN Aren Jaya XIII Bekasi,Bekasi Timur,Bekasi,Negeri
-6.241280514050004,107.02910543152335,Sekolah Dasar,SDN Aren Jaya XIX Bekasi,Bekasi Timur,Bekasi,Negeri
-6.241160467023299,107.04037520590663,Sekolah Dasar,SDN Aren Jaya XVIII,Bekasi Timur,Bekasi,Negeri
-6.245138779890587,107.03388560623328,Sekolah Dasar,Sekolah Dasar Islam Terpadu Al Fatah,Bekasi Timur,Bekasi,Swasta
